id,name,skill_level,skill_number,consume_mp,consume_hp,consume_item_id,consume_amount,reuse_delay,buff_duration,target,target_to,damage_value,damage_dice,damage_dice_count,probability_value,probability_dice,probability_max,attr,type,lawful,ranged,area,through,skill_id,name_id,action_id,cast_gfx,cast_gfx2,sys_msg_id_happen,sys_msg_id_stop,sys_msg_id_fail,can_cast_with_invis,ignores_counter_magic,is_buff,impl
1,ヒール,1,0,4,0,0,0,10,0,buff,3,2,4,0,0,0,-1,4,16,0,-1,0,0,1,$1436,19,744,-1,77,0,280,1,1,0,\N
2,ライト,1,1,4,0,0,0,10,3600,none,0,0,0,0,0,0,-1,16,2,0,0,0,0,2,$1437,19,2510,-1,0,0,0,1,1,1,L1Light
3,シールド,1,2,8,0,0,0,10,1800,none,0,0,0,0,0,0,-1,0,2,0,0,0,0,4,$1438,19,221,-1,0,0,0,1,1,1,\N
4,エネルギー ボルト,1,3,3,0,0,0,10,0,attack,3,8,10,1,0,0,-1,16,64,0,10,0,0,8,$1439,18,167,-1,0,0,0,0,0,0,\N
5,テレポート,1,4,10,0,0,0,10,0,none,0,0,0,0,0,0,-1,0,128,0,0,0,0,16,$1440,19,169,-1,0,0,0,1,1,0,\N
6,アイス ダガー,1,5,4,0,0,0,10,0,attack,3,10,10,1,0,0,-1,4,64,0,10,0,0,32,$1966,18,1797,-1,0,0,0,0,0,0,\N
7,ウィンド カッター,1,6,4,0,0,0,10,0,attack,3,10,10,1,0,0,-1,8,64,0,10,0,0,64,$1967,18,1799,-1,0,0,0,0,0,0,\N
8,ホーリー ウェポン,1,7,10,0,0,0,0,1200,buff,3,0,0,0,0,0,-1,0,2,0,-1,0,0,128,$1977,19,2165,-1,0,0,0,1,1,0,\N
9,キュア ポイズン,2,0,15,0,0,0,0,0,buff,3,0,0,0,0,0,-1,0,2,0,-1,0,0,1,$1441,19,871,-1,211,0,280,1,1,0,\N
10,チル タッチ,2,1,8,0,0,0,0,0,attack,3,10,10,2,0,0,-1,4,64,-2,3,0,0,2,$1442,18,252,-1,0,0,0,0,0,0,\N
11,カーズ ポイズン,2,2,10,0,40318,1,0,30,buff,3,0,0,0,0,12,99,4,4,-10,1,0,0,4,$1443,19,10705,-1,0,0,280,0,0,0,\N
12,エンチャント ウェポン,2,3,20,0,0,0,0,1800,none,0,0,0,0,0,0,-1,2,2,0,0,0,0,8,$1444,19,747,-1,0,0,0,1,1,0,\N
13,ディテクション,2,4,15,0,0,0,500,0,none,3,0,0,0,0,0,-1,0,2,0,0,-1,0,16,$1445,19,749,-1,0,0,0,1,1,0,\N
14,ディクリース ウェイト,2,5,10,50,0,0,0,1800,none,0,0,0,0,0,0,-1,0,2,0,0,0,0,32,$1978,19,2170,-1,0,0,0,1,1,1,L1MarkerSkill
